eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
201412150032,2014,12,15,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Sydney,-33.867979,151.211038,1,0,"The incident occurred in the Martin Place neighborhood","12/15/2014: An assailant, Mon Haron Monis, took 18 people hostage in the Lindt Chocolate cafe in Sydney city, New South Wales state, Australia. Five hostages were able to escape during standoff. After 16 hours, police stormed the cafe and freed the living hostages. In total, Monis and two hostages were killed and four other hostages were wounded in the attack and siege. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,5,"Hostage Taking (Barricade Incident)",,,,,1,Business,2,Restaurant/Bar/Café,"Lindt Chocolate Cafe",Cafe,14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,,0,,,1,1,0,0,,,,,,,,,,5,Firearms,4,"Rifle/Shotgun (non-automatic)",,,,,,,,,,,,,"A sawed-off shotgun was used in the attack.",16,"During the standoff, Monis had declared allegiance to the Islamic State of Iraq and the Levant (ISIL).",""Lone   gunman","   two hostages killed in Sydney cafe siege: police"," Agence France Presse -- English"
201501240090,2015,1,24,,0,,14,Australia,12,"Australasia & Oceania",Queensland,Toowoomba,-27.581562,151.933834,1,0,"The incident occurred in the Harristown neighborhood.","01/24/2015: Assailants set fire to Garden City mosque in Harristown, Queensland, Australia. There were no reported casualties, though the mosque was damaged by the fire. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Garden City Mosque",Mosque,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Mosque arson attack denounced by show of solidarity"," Surat Basin Online"," January 26"
201503300083,2015,3,30,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Brighton,-37.898215,144.995554,1,0,"The incident occurred on North Rd.","03/30/2015: Assailants set fire to St. James Church on North Road in Brighton, Victoria, Australia. There were no reported casualties but the church was damaged in the incident. This was one of two attacks targeting churches in Victoria on the same day. No group claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. James Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Fourth Melbourne church fire not linked to Brighton"," Dandenong fires"," police believe"
201503300084,2015,3,30,,0,,14,Australia,12,"Australasia & Oceania",Victoria,"St. Kilda East",-37.858684,144.996338,1,0,"The incident occurred on Dandenong Rd.","03/30/2015: Assailants set fire to St. Mary's Church on Dandenong Road in St. Kilda East, Victoria, Australia. There were no reported casualties but the church was damaged in the incident. This was one of two attacks targeting churches in Victoria on the same day. No group claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. Mary's Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Fourth Melbourne church fire not linked to Brighton"," Dandenong fires"," police believe"
201504010112,2015,4,1,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Dandenong,-37.988975,145.217452,1,0,"The incident occurred on Foster St.","04/01/2015: Assailants set fire to St. Mary's Church on Foster Street in Dandenong, Victoria, Australia. There were no reported casualties but the church was damaged in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. Mary's Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Fourth Melbourne church fire not linked to Brighton"," Dandenong fires"," police believe"
201504030095,2015,4,3,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Melbourne,-37.789922,145.170775,1,0,"The incident occurred on Doncaster Rd.","04/03/2015: Assailants set fire to St. David's Church on Doncaster Road in Melbourne, Australia. There were no reported casualties but the church was damaged in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. David's Church","Anglican Church",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Fourth Melbourne church fire not linked to Brighton"," Dandenong fires"," police believe"
201504170084,2015,4,17,,0,,14,Australia,12,"Australasia & Oceania",Queensland,Toowoomba,-27.564238,151.947275,1,0,,"04/17/2015: Assailants set fire to Garden City mosque in Harristown, Toowoomba city, Queensland state, Australia. No casualties were reported. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Garden City Mosque",Mosque,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Arson Attack Leaves Queensland Mosque 'Almost Completely Destroyed' Two Days Before Opening"," International Business Times Australia"," April 17"
201505170064,2015,5,17,,0,,14,Australia,12,"Australasia & Oceania",Tasmania,Hobart,-42.884049,147.323719,1,0,,"05/17/2015: Assailants set fire to a nightclub in Hobart city, Tasmania, Australia. No casualties were reported. No group claimed responsibility for the incident.",0,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,2,Restaurant/Bar/Café,Flamingos,Bar,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"Accelerant liquid was used in the attack.",,"There is doubt that this incident meets terrorism-related criteria. The nightclub's owner speculated that the assailant was either a "disgruntled patron"" or had a homophobic motive."",""CCTV captures arson attack on club"," Tasmania Mercury"," May 20"
201507170050,2015,7,17,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Sydney,-33.829658,151.117538,1,0,"The incident occurred in Tennyson Point neighborhood.","07/17/2015: An explosive device was found and defused outside the home of Brad Haddin, a cricket player, in Tennyson Point suburb, Sydney, Australia. No group claimed responsibility for the incident.",1,1,1,1,4,"Lack of Intentionality",0,0,0,3,Bombing/Explosion,,,,,20,Unknown,,,Unknown,Unknown,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"A crude bomb containing two butane canisters and an attached wick was used in the attack.",,"There is doubt that this incident meets terrorism-related criteria. It is unclear if the explosive device was intended to be used to carry out an attack.",""Explosive Device Found Outside Australian Cricketer Brad Haddin's Sydney Home"," International Business Times"," July 18"
201510020040,2015,10,2,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Parramatta,-33.815129,151.003278,1,0,,"10/02/2015: An assailant opened fire on a civilian police employee outside a police headquarters in Parramatta city, Sydney region, New South Wales province, Australia. The civilian employee, Curtis Cheng, and the assailant were killed in the assault. No group claimed responsibility; however, sources identified the attacker as Farad Jabar Khalil Mohammad.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Australian Federal Police (AFP)","Civilian Police Employee",14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,,0,,,1,1,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,""Teenage terrorist Farhad Jabar spoke with Islamic State recruiter Neil Prakash"," news.com.au"," October 14"
